Openissues: 298
Closedissues 1502
{comments=5, state=closed, durationTime=2 Days 15 Hours 57 Minutes 12 Seconds}
{comments=5, state=closed, durationTime=24 Days 4 Hours 21 Minutes 11 Seconds}
{comments=5, state=closed, durationTime=4 Days 22 Hours 5 Minutes 38 Seconds}
{comments=5, state=closed, durationTime=40 Days 10 Hours 40 Minutes 14 Seconds}
{comments=5, state=closed, durationTime=9 Days 4 Hours 28 Minutes 37 Seconds}
{comments=5, state=closed, durationTime=29 Days 10 Hours 26 Minutes 8 Seconds}
{comments=5, state=closed, durationTime=179 Days 4 Hours 1 Minutes 58 Seconds}
{comments=5, state=closed, durationTime=1 Days 3 Hours 16 Minutes 13 Seconds}
{comments=5, state=closed, durationTime=15 Days 2 Hours 57 Minutes 38 Seconds}
{comments=5, state=closed, durationTime=9 Days 7 Hours 47 Minutes 38 Seconds}
{comments=5, state=closed, durationTime=0 Days 9 Hours 22 Minutes 42 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=27 Days 15 Hours 38 Minutes 33 Seconds}
{comments=5, state=closed, durationTime=21 Days 10 Hours 3 Minutes 4 Seconds}
{comments=5, state=closed, durationTime=73 Days 7 Hours 21 Minutes 54 Seconds}
{comments=5, state=closed, durationTime=2 Days 5 Hours 23 Minutes 19 Seconds}
{comments=5, state=closed, durationTime=34 Days 21 Hours 46 Minutes 29 Seconds}
{comments=5, state=closed, durationTime=0 Days 12 Hours 23 Minutes 5 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=3 Days 20 Hours 49 Minutes 39 Seconds}
{comments=5, state=closed, durationTime=255 Days 18 Hours 19 Minutes 23 Seconds}
{comments=5, state=closed, durationTime=4 Days 21 Hours 1 Minutes 41 Seconds}
{comments=5, state=closed, durationTime=1 Days 14 Hours 4 Minutes 34 Seconds}
{comments=5, state=closed, durationTime=508 Days 22 Hours 49 Minutes 2 Seconds}
{comments=5, state=closed, durationTime=0 Days 9 Hours 39 Minutes 26 Seconds}
{comments=5, state=closed, durationTime=14 Days 23 Hours 1 Minutes 51 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=3 Days 0 Hours 5 Minutes 0 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=15 Days 6 Hours 31 Minutes 16 Seconds}
{comments=5, state=closed, durationTime=21 Days 13 Hours 26 Minutes 44 Seconds}
{comments=5, state=closed, durationTime=12 Days 10 Hours 32 Minutes 28 Seconds}
{comments=5, state=closed, durationTime=16 Days 16 Hours 42 Minutes 37 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=3 Days 2 Hours 33 Minutes 12 Seconds}
{comments=5, state=closed, durationTime=3 Days 0 Hours 48 Minutes 25 Seconds}
{comments=5, state=closed, durationTime=0 Days 23 Hours 44 Minutes 13 Seconds}
{comments=5, state=closed, durationTime=1 Days 9 Hours 47 Minutes 21 Seconds}
{comments=5, state=closed, durationTime=4 Days 8 Hours 50 Minutes 3 Seconds}
{comments=5, state=closed, durationTime=0 Days 5 Hours 43 Minutes 6 Seconds}
{comments=5, state=closed, durationTime=1 Days 0 Hours 36 Minutes 16 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=12 Days 15 Hours 8 Minutes 31 Seconds}
{comments=5, state=closed, durationTime=62 Days 22 Hours 51 Minutes 47 Seconds}
{comments=5, state=closed, durationTime=2 Days 4 Hours 25 Minutes 38 Seconds}
{comments=5, state=closed, durationTime=4 Days 22 Hours 40 Minutes 26 Seconds}
{comments=5, state=closed, durationTime=14 Days 15 Hours 31 Minutes 39 Seconds}
{comments=5, state=closed, durationTime=4 Days 22 Hours 50 Minutes 44 Seconds}
{comments=5, state=closed, durationTime=0 Days 0 Hours 0 Minutes 41 Seconds}
{comments=5, state=closed, durationTime=141 Days 18 Hours 51 Minutes 52 Seconds}
{comments=5, state=closed, durationTime=45 Days 17 Hours 42 Minutes 47 Seconds}
{comments=5, state=closed, durationTime=25 Days 1 Hours 15 Minutes 21 Seconds}
{comments=5, state=closed, durationTime=6 Days 0 Hours 37 Minutes 14 Seconds}
{comments=4, state=open, durationTime=No}
{comments=4, state=closed, durationTime=0 Days 18 Hours 17 Minutes 42 Seconds}
{comments=4, state=closed, durationTime=5 Days 6 Hours 6 Minutes 4 Seconds}
{comments=4, state=closed, durationTime=10 Days 22 Hours 57 Minutes 46 Seconds}
{comments=4, state=open, durationTime=No}
{comments=4, state=closed, durationTime=0 Days 2 Hours 22 Minutes 10 Seconds}
{comments=4, state=closed, durationTime=4 Days 11 Hours 16 Minutes 47 Seconds}
{comments=4, state=closed, durationTime=0 Days 18 Hours 32 Minutes 3 Seconds}
{comments=4, state=closed, durationTime=5 Days 19 Hours 56 Minutes 13 Seconds}
{comments=4, state=closed, durationTime=0 Days 20 Hours 10 Minutes 35 Seconds}
{comments=4, state=open, durationTime=No}
{comments=4, state=closed, durationTime=0 Days 12 Hours 28 Minutes 9 Seconds}
{comments=4, state=closed, durationTime=0 Days 15 Hours 12 Minutes 5 Seconds}
{comments=4, state=closed, durationTime=2 Days 8 Hours 23 Minutes 39 Seconds}
{comments=4, state=closed, durationTime=13 Days 1 Hours 5 Minutes 45 Seconds}
{comments=4, state=open, durationTime=No}
{comments=4, state=closed, durationTime=12 Days 19 Hours 58 Minutes 15 Seconds}
{comments=4, state=closed, durationTime=4 Days 0 Hours 48 Minutes 36 Seconds}
{comments=4, state=closed, durationTime=5 Days 16 Hours 10 Minutes 8 Seconds}
{comments=4, state=closed, durationTime=1 Days 3 Hours 37 Minutes 14 Seconds}
{comments=4, state=closed, durationTime=0 Days 5 Hours 28 Minutes 25 Seconds}
{comments=4, state=closed, durationTime=1 Days 22 Hours 9 Minutes 51 Seconds}
{comments=4, state=closed, durationTime=4 Days 17 Hours 21 Minutes 32 Seconds}
{comments=4, state=closed, durationTime=0 Days 23 Hours 34 Minutes 37 Seconds}
